Pavarde             Vardas              Nd1      Nd2      Nd3      Nd4      Nd5      Nd6      Nd7      Egz      
Pavarde114          Vardas114           9        4        7        10       8        5        5        2        
Pavarde115          Vardas115           3        8        10       7        1        1        7        7        
Pavarde116          Vardas116           7        6        10       8        10       6        9        10       
Pavarde117          Vardas117           8        9        5        9        9        3        5        10       
Pavarde118          Vardas118           8        4        3        8        3        1        2        9        
Pavarde119          Vardas119           9        7        4        7        4        4        7        8        
Pavarde120          Vardas120           5        4        3        1        6        6        4        9        
Pavarde121          Vardas121           7        9        7        4        8        7        1        8        
Pavarde122          Vardas122           4        6        2        10       2        1        7        5        
Pavarde123          Vardas123           3        4        8        1        7        9        3        4        
Pavarde124          Vardas124           1        5        3        4        10       6        5        2        
Pavarde125          Vardas125           8        1        4        5        10       2        9        2        
Pavarde126          Vardas126           1        5        4        3        5        3        1        4        
Pavarde127          Vardas127           7        1        3        2        9        8        6        4        
Pavarde128          Vardas128           6        2        6        8        8        4        6        3        
Pavarde129          Vardas129           4        8        10       2        9        2        1        3        
Pavarde130          Vardas130           9        5        2        1        7        6        9        1        
Pavarde131          Vardas131           10       6        6        8        1        9        3        7        
Pavarde132          Vardas132           4        2        2        1        2        2        3        1        
Pavarde133          Vardas133           10       8        8        3        6        1        4        5        
Pavarde134          Vardas134           5        9        1        6        1        7        5        2        
Pavarde135          Vardas135           8        2        7        4        6        10       5        1        
Pavarde136          Vardas136           2        5        5        6        10       8        1        4        
Pavarde137          Vardas137           7        1        3        4        7        9        10       4        
Pavarde138          Vardas138           1        2        3        10       7        6        10       6        
Pavarde139          Vardas139           2        4        9        9        2        6        1        9        
Pavarde140          Vardas140           3        1        3        1        5        2        7        6        
Pavarde141          Vardas141           5        10       5        2        8        6        10       5        
Pavarde142          Vardas142           3        9        7        7        4        7        9        3        
Pavarde143          Vardas143           1        3        10       8        9        2        9        1        
Pavarde144          Vardas144           9        8        9        5        8        8        6        5        
Pavarde145          Vardas145           6        7        5        1        8        9        8        7        
Pavarde146          Vardas146           5        5        10       4        7        7        9        1        
Pavarde147          Vardas147           3        5        5        6        4        2        4        4        
Pavarde148          Vardas148           7        5        1        2        1        4        6        3        
Pavarde149          Vardas149           6        9        1        8        4        3        5        5        
Pavarde150          Vardas150           1        3        8        7        3        7        9        3        
Pavarde151          Vardas151           5        6        5        8        8        6        4        5        
Pavarde152          Vardas152           3        9        3        7        7        8        4        1        
Pavarde153          Vardas153           9        5        2        7        3        7        7        8        
Pavarde154          Vardas154           9        1        8        4        3        1        10       6        
Pavarde155          Vardas155           1        8        7        2        9        2        7        2        
Pavarde156          Vardas156           5        3        3        3        1        1        9        2        
Pavarde157          Vardas157           10       9        8        2        9        10       5        5        
Pavarde158          Vardas158           9        3        7        1        5        10       3        4        
Pavarde159          Vardas159           2        10       2        9        9        4        8        8        
Pavarde160          Vardas160           8        2        9        1        7        2        8        10       
Pavarde161          Vardas161           5        6        10       6        1        6        6        2        
Pavarde162          Vardas162           1        3        9        4        10       8        7        1        
Pavarde163          Vardas163           10       6        9        8        9        4        7        8        
Pavarde164          Vardas164           4        6        9        4        4        4        1        3        
Pavarde165          Vardas165           5        6        8        10       8        5        1        9        
Pavarde166          Vardas166           7        7        9        2        3        3        4        9        
Pavarde167          Vardas167           7        4        8        9        10       9        5        4        
Pavarde168          Vardas168           3        3        3        7        10       5        9        4        
Pavarde169          Vardas169           10       3        9        1        8        8        5        1        
Pavarde170          Vardas170           10       4        2        4        3        6        7        4        
Pavarde171          Vardas171           9        8        8        6        10       1        5        9        
Pavarde172          Vardas172           7        3        5        3        7        6        2        2        
Pavarde173          Vardas173           5        1        8        7        5        4        10       6        
Pavarde174          Vardas174           9        10       4        6        5        4        5        6        
Pavarde175          Vardas175           3        4        9        5        2        4        5        2        
Pavarde176          Vardas176           4        1        4        9        7        6        10       5        
Pavarde177          Vardas177           1        3        6        6        2        2        2        9        
Pavarde178          Vardas178           9        8        9        4        10       4        5        8        
Pavarde179          Vardas179           10       6        2        6        6        3        1        7        
Pavarde180          Vardas180           5        5        7        6        2        4        9        10       
Pavarde181          Vardas181           6        6        6        10       4        1        3        7        
Pavarde182          Vardas182           1        2        6        8        8        4        10       3        
Pavarde183          Vardas183           5        8        10       1        3        4        2        9        
Pavarde184          Vardas184           4        4        2        7        9        1        2        6        
Pavarde185          Vardas185           7        9        8        2        9        8        9        10       
Pavarde186          Vardas186           5        9        1        5        4        6        9        7        
Pavarde187          Vardas187           8        1        8        4        10       5        5        1        
Pavarde188          Vardas188           8        5        5        10       5        3        8        5        
Pavarde189          Vardas189           10       4        6        8        4        3        6        1        
Pavarde190          Vardas190           9        7        5        6        10       4        5        5        
Pavarde191          Vardas191           1        6        6        10       4        5        4        6        
Pavarde192          Vardas192           5        9        6        10       10       5        3        4        
Pavarde193          Vardas193           7        4        8        7        2        2        8        3        
Pavarde194          Vardas194           8        5        2        8        4        4        4        6        
Pavarde195          Vardas195           8        7        3        4        6        1        7        3        
Pavarde196          Vardas196           5        6        7        8        1        7        6        4        
Pavarde197          Vardas197           5        6        5        6        8        7        4        7        
Pavarde198          Vardas198           3        4        6        8        7        2        8        4        
Pavarde199          Vardas199           3        2        3        1        1        9        10       6        
Pavarde200          Vardas200           7        5        5        10       6        2        4        7        
Pavarde201          Vardas201           1        4        1        6        3        7        10       4        
Pavarde202          Vardas202           9        2        3        2        7        8        2        2        
Pavarde203          Vardas203           7        3        7        2        2        3        4        8        
Pavarde204          Vardas204           1        9        3        1        8        3        4        1        
Pavarde205          Vardas205           3        2        7        5        7        2        2        10       
Pavarde206          Vardas206           1        4        8        3        7        8        8        5        
Pavarde207          Vardas207           6        10       8        4        7        9        4        6        
Pavarde208          Vardas208           7        6        10       3        10       9        8        1        
Pavarde209          Vardas209           9        6        2        1        9        1        8        10       
Pavarde210          Vardas210           7        8        2        3        3        1        10       4        
Pavarde211          Vardas211           10       5        5        4        1        1        8        1        
Pavarde212          Vardas212           1        7        7        7        9        4        9        7        
Pavarde213          Vardas213           3        8        10       6        5        2        9        1        
Pavarde214          Vardas214           9        3        1        8        1        2        5        6        
Pavarde215          Vardas215           7        1        10       2        9        8        10       8        
Pavarde216          Vardas216           10       9        10       10       10       3        9        1        
Pavarde217          Vardas217           7        2        5        1        10       6        2        5        
Pavarde218          Vardas218           8        7        7        8        9        7        2        3        
Pavarde219          Vardas219           3        10       5        2        1        7        9        10       
Pavarde220          Vardas220           2        4        9        4        10       2        3        4        
Pavarde221          Vardas221           9        7        8        8        10       2        2        1        
Pavarde222          Vardas222           10       8        3        8        9        2        9        7        
Pavarde223          Vardas223           9        3        6        5        10       5        6        2        
Pavarde224          Vardas224           7        8        5        10       2        10       8        7        
Pavarde225          Vardas225           1        1        9        7        7        6        10       4        
Pavarde226          Vardas226           6        1        4        8        1        7        6        10       
Pavarde227          Vardas227           8        6        5        3        5        3        1        4        
Pavarde228          Vardas228           4        9        3        9        2        5        4        8        
Pavarde229          Vardas229           5        1        6        1        4        9        1        10       
Pavarde230          Vardas230           9        5        4        2        5        5        10       9        
Pavarde231          Vardas231           4        5        5        1        8        5        8        2        
Pavarde232          Vardas232           2        6        6        8        7        7        10       3        
Pavarde233          Vardas233           3        2        9        6        9        1        4        7        
Pavarde234          Vardas234           5        3        8        2        5        7        3        10       
Pavarde235          Vardas235           5        5        1        10       8        8        10       4        
Pavarde236          Vardas236           7        10       4        8        1        9        4        8        
Pavarde237          Vardas237           6        7        10       2        9        4        5        3        
Pavarde238          Vardas238           2        10       3        4        3        8        1        7        
Pavarde239          Vardas239           7        1        4        4        6        9        10       3        
Pavarde240          Vardas240           3        4        3        7        7        5        5        7        
Pavarde241          Vardas241           10       8        8        6        5        9        8        2        
Pavarde242          Vardas242           8        7        8        10       4        5        3        3        
Pavarde243          Vardas243           10       9        3        5        2        4        4        8        
Pavarde244          Vardas244           3        6        1        3        2        4        6        7        
Pavarde245          Vardas245           2        6        8        8        5        4        7        10       
Pavarde246          Vardas246           8        7        1        6        3        10       6        8        
Pavarde247          Vardas247           8        4        1        2        9        2        4        1        
Pavarde248          Vardas248           2        2        8        1        5        9        8        4        
Pavarde249          Vardas249           1        3        4        5        4        8        1        9        
Pavarde250          Vardas250           2        3        6        4        6        1        8        5        
Pavarde251          Vardas251           7        1        5        10       10       9        7        10       
Pavarde252          Vardas252           9        10       6        4        4        10       8        7        
Pavarde253          Vardas253           7        3        4        3        10       4        1        4        
Pavarde254          Vardas254           10       9        8        1        2        7        6        5        
Pavarde255          Vardas255           9        5        4        5        5        6        1        5        
Pavarde256          Vardas256           8        1        3        7        8        8        7        3        
Pavarde257          Vardas257           3        6        7        8        2        1        4        6        
Pavarde258          Vardas258           2        5        9        9        9        9        9        6        
Pavarde259          Vardas259           10       5        10       1        10       8        4        10       
Pavarde260          Vardas260           1        7        5        10       2        7        2        8        
Pavarde261          Vardas261           4        1        5        2        3        2        6        1        
Pavarde262          Vardas262           8        2        5        4        7        3        2        8        
Pavarde263          Vardas263           1        1        8        8        2        9        8        6        
Pavarde264          Vardas264           6        10       10       5        9        1        10       5        
Pavarde265          Vardas265           9        5        2        7        8        1        2        1        
Pavarde266          Vardas266           10       2        1        8        1        6        3        1        
Pavarde267          Vardas267           6        6        3        7        6        7        1        4        
Pavarde268          Vardas268           9        5        7        10       4        7        10       6        
Pavarde269          Vardas269           10       8        6        3        8        1        4        6        
Pavarde270          Vardas270           4        1        7        9        9        8        8        10       
Pavarde271          Vardas271           5        8        8        4        2        9        5        1        
Pavarde272          Vardas272           7        2        2        6        3        6        3        9        
Pavarde273          Vardas273           4        1        3        5        3        10       5        3        
Pavarde274          Vardas274           5        1        9        5        6        4        7        6        
Pavarde275          Vardas275           7        10       3        4        7        6        3        4        
Pavarde276          Vardas276           10       9        5        9        5        6        4        4        
Pavarde277          Vardas277           8        1        3        1        10       3        3        4        
Pavarde278          Vardas278           8        10       1        4        1        7        2        1        
Pavarde279          Vardas279           7        9        3        7        8        5        8        6        
Pavarde280          Vardas280           4        5        3        4        5        2        3        9        
Pavarde281          Vardas281           2        7        9        6        3        7        3        9        
Pavarde282          Vardas282           8        5        1        6        7        9        1        5        
Pavarde283          Vardas283           1        7        4        8        10       8        6        2        
Pavarde284          Vardas284           10       8        10       2        2        4        9        6        
Pavarde285          Vardas285           10       4        7        10       9        8        5        3        
Pavarde286          Vardas286           1        4        2        4        8        5        9        4        
Pavarde287          Vardas287           10       6        1        9        7        7        6        5        
Pavarde288          Vardas288           2        7        1        10       7        6        6        1        
Pavarde289          Vardas289           3        6        4        7        3        6        7        7        
Pavarde290          Vardas290           6        5        7        6        8        6        2        9        
Pavarde291          Vardas291           1        2        3        3        2        9        7        10       
Pavarde292          Vardas292           5        3        2        5        1        2        3        1        
Pavarde293          Vardas293           3        10       2        5        4        6        5        7        
Pavarde294          Vardas294           1        9        9        5        4        2        1        9        
Pavarde295          Vardas295           4        2        7        8        6        5        9        7        
Pavarde296          Vardas296           9        1        8        6        2        6        8        1        
Pavarde297          Vardas297           2        1        5        2        8        1        6        4        
Pavarde298          Vardas298           7        6        6        10       6        8        4        9        
Pavarde299          Vardas299           7        4        7        8        10       7        7        2        
Pavarde300          Vardas300           8        9        3        9        4        6        10       4        
Pavarde301          Vardas301           3        3        7        4        10       10       6        3        
Pavarde302          Vardas302           6        10       6        3        4        8        10       3        
Pavarde303          Vardas303           9        2        5        10       1        9        4        5        
Pavarde304          Vardas304           7        7        5        3        5        6        5        5        
Pavarde305          Vardas305           1        2        7        5        9        3        5        7        
Pavarde306          Vardas306           1        5        1        4        6        6        3        4        
Pavarde307          Vardas307           10       1        8        5        5        9        8        2        
Pavarde308          Vardas308           5        2        10       4        4        5        7        5        
Pavarde309          Vardas309           7        7        6        6        3        3        8        7        
Pavarde310          Vardas310           9        3        8        8        8        3        10       1        
Pavarde311          Vardas311           2        4        3        5        10       1        4        5        
Pavarde312          Vardas312           8        4        3        9        2        5        2        2        
Pavarde313          Vardas313           7        10       7        3        3        4        10       2        
Pavarde314          Vardas314           7        2        1        5        6        3        4        8        
Pavarde315          Vardas315           7        2        5        3        5        7        1        10       
Pavarde316          Vardas316           10       4        8        10       1        1        4        4        
Pavarde317          Vardas317           7        6        4        3        1        4        9        2        
Pavarde318          Vardas318           6        2        7        9        2        5        3        3        
Pavarde319          Vardas319           1        9        10       2        2        4        10       5        
Pavarde320          Vardas320           10       8        3        9        9        9        8        9        
Pavarde321          Vardas321           8        8        8        6        7        7        7        2        
Pavarde322          Vardas322           9        4        2        4        10       10       2        1        
Pavarde323          Vardas323           8        1        7        2        4        8        4        5        
Pavarde324          Vardas324           2        6        4        9        6        9        7        7        
Pavarde325          Vardas325           4        6        5        4        7        2        6        5        
Pavarde326          Vardas326           7        5        5        4        3        5        8        2        
Pavarde327          Vardas327           5        7        6        7        4        8        2        3        
Pavarde328          Vardas328           1        3        1        7        5        7        1        10       
Pavarde329          Vardas329           10       5        4        7        4        10       4        2        
Pavarde330          Vardas330           10       2        7        9        2        1        6        6        
Pavarde331          Vardas331           1        4        5        10       10       10       9        9        
Pavarde332          Vardas332           4        2        4        3        4        1        2        4        
Pavarde333          Vardas333           6        3        6        9        6        3        6        6        
Pavarde334          Vardas334           8        10       1        2        8        3        5        8        
Pavarde335          Vardas335           2        3        3        7        9        3        2        7        
Pavarde336          Vardas336           1        8        1        2        10       6        6        3        
Pavarde337          Vardas337           1        3        8        2        4        4        8        7        
Pavarde338          Vardas338           1        2        4        4        3        4        10       1        
Pavarde339          Vardas339           5        2        2        8        8        9        4        3        
Pavarde340          Vardas340           4        7        10       7        3        2        9        9        
Pavarde341          Vardas341           3        7        5        3        3        7        10       3        
Pavarde342          Vardas342           9        5        2        6        8        1        9        7        
Pavarde343          Vardas343           10       4        7        1        7        7        3        3        
Pavarde344          Vardas344           2        7        5        2        6        9        10       4        
Pavarde345          Vardas345           5        6        3        8        2        8        7        1        
Pavarde346          Vardas346           9        10       1        9        5        4        4        4        
Pavarde347          Vardas347           4        8        6        5        5        3        2        7        
Pavarde348          Vardas348           5        7        4        3        3        9        3        4        
Pavarde349          Vardas349           6        6        3        3        2        5        8        1        
Pavarde350          Vardas350           2        8        10       8        7        6        2        7        
Pavarde351          Vardas351           5        1        5        4        10       7        6        8        
Pavarde352          Vardas352           2        4        7        7        3        7        5        10       
Pavarde353          Vardas353           9        3        6        5        5        1        2        6        
Pavarde354          Vardas354           4        4        3        2        3        1        8        3        
Pavarde355          Vardas355           1        8        8        10       9        7        4        7        
Pavarde356          Vardas356           10       10       5        4        5        6        9        4        
Pavarde357          Vardas357           9        10       7        8        1        9        7        6        
Pavarde358          Vardas358           2        4        5        10       7        2        4        4        
Pavarde359          Vardas359           6        7        7        8        1        5        2        10       
Pavarde360          Vardas360           7        9        9        10       7        9        10       6        
Pavarde361          Vardas361           9        3        2        2        2        4        4        3        
Pavarde362          Vardas362           2        5        6        8        7        7        8        4        
Pavarde363          Vardas363           8        3        2        4        9        5        6        1        
Pavarde364          Vardas364           6        2        4        6        1        4        6        3        
Pavarde365          Vardas365           5        2        7        2        3        6        4        1        
Pavarde366          Vardas366           7        2        10       7        8        9        6        3        
Pavarde367          Vardas367           9        9        4        4        1        1        7        2        
Pavarde368          Vardas368           2        5        6        7        6        6        8        2        
Pavarde369          Vardas369           6        7        9        4        7        6        4        2        
Pavarde370          Vardas370           1        9        8        7        7        7        1        5        
Pavarde371          Vardas371           8        7        1        1        7        6        10       1        
Pavarde372          Vardas372           7        5        8        8        1        4        7        10       
Pavarde373          Vardas373           10       7        2        8        9        8        4        2        
Pavarde374          Vardas374           1        2        1        1        2        1        7        4        
Pavarde375          Vardas375           1        3        6        10       2        8        7        1        
Pavarde376          Vardas376           10       3        1        10       2        4        10       4        
Pavarde377          Vardas377           5        3        9        2        6        7        5        10       
Pavarde378          Vardas378           5        10       5        9        10       6        6        2        
Pavarde379          Vardas379           6        8        3        10       10       7        2        4        
Pavarde380          Vardas380           7        1        2        4        2        7        1        2        
Pavarde381          Vardas381           3        10       2        5        9        4        1        5        
Pavarde382          Vardas382           6        4        3        4        7        1        7        7        
Pavarde383          Vardas383           4        8        4        8        6        1        2        6        
Pavarde384          Vardas384           9        1        3        10       2        3        10       5        
Pavarde385          Vardas385           3        1        10       4        8        2        4        10       
Pavarde386          Vardas386           8        9        3        4        2        10       8        3        
Pavarde387          Vardas387           6        4        9        2        6        4        5        1        
Pavarde388          Vardas388           5        5        2        9        3        7        10       4        
Pavarde389          Vardas389           4        5        10       9        9        8        7        2        
Pavarde390          Vardas390           1        8        5        7        3        2        9        7        
Pavarde391          Vardas391           3        10       2        4        5        10       9        6        
Pavarde392          Vardas392           7        2        9        5        4        3        7        10       
Pavarde393          Vardas393           9        5        5        3        9        7        2        9        
Pavarde394          Vardas394           2        10       3        9        9        10       1        3        
Pavarde395          Vardas395           8        8        1        9        5        6        7        1        
Pavarde396          Vardas396           7        5        3        3        8        4        2        2        
Pavarde397          Vardas397           6        2        4        9        3        1        3        2        
Pavarde398          Vardas398           1        7        10       5        2        3        6        7        
