Pavarde             Vardas              Nd1      Nd2      Nd3      Nd4      Nd5      Nd6      Nd7      Egz      
Pavarde204          Vardas204           10       5        10       2        2        5        3        10       
Pavarde205          Vardas205           3        9        8        10       2        7        1        4        
Pavarde206          Vardas206           9        1        7        5        3        9        9        4        
Pavarde207          Vardas207           8        7        3        3        10       10       7        10       
Pavarde208          Vardas208           9        2        2        5        10       10       9        4        
Pavarde209          Vardas209           7        1        4        2        10       7        1        10       
Pavarde210          Vardas210           2        8        1        7        9        1        1        3        
Pavarde211          Vardas211           5        5        4        6        3        8        8        10       
Pavarde212          Vardas212           4        8        1        10       5        10       10       8        
Pavarde213          Vardas213           2        10       9        7        10       4        7        5        
Pavarde214          Vardas214           10       9        2        1        3        5        9        1        
Pavarde215          Vardas215           4        4        2        9        6        4        10       3        
Pavarde216          Vardas216           6        3        4        5        10       8        2        5        
Pavarde217          Vardas217           9        2        7        2        6        8        1        7        
Pavarde218          Vardas218           1        6        2        5        1        9        9        9        
Pavarde219          Vardas219           6        8        5        8        5        6        5        3        
Pavarde220          Vardas220           10       10       9        2        5        2        9        10       
Pavarde221          Vardas221           10       2        5        2        2        10       1        1        
Pavarde222          Vardas222           10       1        3        7        2        3        1        3        
Pavarde223          Vardas223           4        1        2        9        4        8        4        7        
Pavarde224          Vardas224           6        8        10       6        8        2        4        2        
Pavarde225          Vardas225           9        5        4        8        4        6        1        6        
Pavarde226          Vardas226           2        1        3        6        5        3        5        5        
Pavarde227          Vardas227           4        3        5        9        8        2        4        9        
Pavarde228          Vardas228           5        2        8        2        10       2        10       1        
Pavarde229          Vardas229           9        8        7        10       4        9        1        8        
Pavarde230          Vardas230           2        10       7        7        6        3        5        5        
Pavarde231          Vardas231           10       3        9        1        6        6        5        8        
Pavarde232          Vardas232           8        10       8        9        10       6        2        6        
Pavarde233          Vardas233           9        3        5        7        1        1        2        7        
Pavarde234          Vardas234           9        2        1        7        9        8        8        4        
Pavarde235          Vardas235           6        2        3        7        1        7        10       1        
Pavarde236          Vardas236           10       9        5        8        4        10       1        4        
Pavarde237          Vardas237           4        1        10       9        10       10       5        4        
Pavarde238          Vardas238           8        5        10       6        7        6        3        4        
Pavarde239          Vardas239           4        3        3        8        6        3        3        1        
Pavarde240          Vardas240           10       1        9        10       10       5        4        1        
Pavarde241          Vardas241           6        3        10       4        5        4        4        3        
Pavarde242          Vardas242           5        6        2        8        8        5        5        8        
Pavarde243          Vardas243           4        7        4        10       2        5        5        10       
Pavarde244          Vardas244           6        9        6        5        4        7        8        8        
Pavarde245          Vardas245           3        3        7        3        5        3        8        1        
Pavarde246          Vardas246           9        3        2        1        8        6        9        6        
Pavarde247          Vardas247           4        8        8        1        7        4        9        7        
Pavarde248          Vardas248           10       9        10       1        10       4        9        5        
Pavarde249          Vardas249           10       3        5        4        10       7        6        8        
Pavarde250          Vardas250           3        5        7        2        3        1        2        9        
Pavarde251          Vardas251           5        1        3        1        7        8        4        1        
Pavarde252          Vardas252           2        7        3        7        10       10       4        5        
Pavarde253          Vardas253           2        8        9        10       1        3        1        4        
Pavarde254          Vardas254           1        5        7        4        9        5        4        2        
Pavarde255          Vardas255           8        3        8        2        7        10       2        7        
Pavarde256          Vardas256           10       3        9        7        3        8        4        7        
Pavarde257          Vardas257           5        1        4        8        3        4        9        6        
Pavarde258          Vardas258           4        9        8        6        5        2        2        9        
Pavarde259          Vardas259           9        3        8        2        4        3        6        9        
Pavarde260          Vardas260           3        6        1        8        9        9        7        1        
Pavarde261          Vardas261           1        9        4        5        9        6        2        1        
Pavarde262          Vardas262           1        5        1        1        3        3        7        2        
Pavarde263          Vardas263           7        5        5        8        1        10       7        6        
Pavarde264          Vardas264           3        1        9        9        9        10       5        4        
Pavarde265          Vardas265           6        1        3        4        5        2        10       6        
Pavarde266          Vardas266           2        6        2        4        10       10       3        8        
Pavarde267          Vardas267           10       1        7        7        6        8        7        10       
Pavarde268          Vardas268           3        1        8        9        9        1        2        10       
Pavarde269          Vardas269           1        9        10       3        6        4        4        6        
Pavarde270          Vardas270           9        1        10       5        1        2        1        8        
Pavarde271          Vardas271           4        2        6        7        3        9        7        2        
Pavarde272          Vardas272           10       3        10       2        4        5        10       6        
Pavarde273          Vardas273           10       2        1        1        1        3        3        1        
Pavarde274          Vardas274           6        1        7        9        5        7        7        3        
Pavarde275          Vardas275           6        9        7        2        6        4        8        10       
Pavarde276          Vardas276           1        10       9        5        3        8        6        10       
Pavarde277          Vardas277           8        9        4        9        5        4        5        1        
Pavarde278          Vardas278           10       1        8        4        1        3        3        8        
Pavarde279          Vardas279           8        4        5        4        10       6        5        5        
Pavarde280          Vardas280           7        8        10       3        3        4        1        7        
Pavarde281          Vardas281           2        8        6        3        10       2        2        4        
Pavarde282          Vardas282           7        5        6        3        4        1        6        8        
Pavarde283          Vardas283           3        9        10       1        2        5        1        4        
Pavarde284          Vardas284           10       3        2        5        6        4        5        5        
Pavarde285          Vardas285           10       8        6        10       3        8        2        6        
Pavarde286          Vardas286           7        10       1        7        3        7        1        4        
Pavarde287          Vardas287           2        8        5        1        3        1        8        5        
Pavarde288          Vardas288           8        2        10       8        8        1        1        2        
Pavarde289          Vardas289           9        5        8        8        7        10       5        1        
Pavarde290          Vardas290           10       4        3        3        4        1        3        3        
Pavarde291          Vardas291           3        8        10       4        1        8        3        8        
Pavarde292          Vardas292           1        6        5        3        2        8        5        2        
Pavarde293          Vardas293           5        8        3        9        1        4        2        3        
Pavarde294          Vardas294           8        1        9        1        9        6        2        2        
Pavarde295          Vardas295           9        8        2        2        1        9        9        3        
Pavarde296          Vardas296           6        9        8        4        1        10       1        4        
Pavarde297          Vardas297           10       10       7        10       8        6        3        7        
Pavarde298          Vardas298           3        2        2        2        4        3        10       6        
Pavarde299          Vardas299           6        10       10       10       7        3        3        5        
Pavarde300          Vardas300           10       8        5        2        6        3        3        4        
Pavarde301          Vardas301           6        2        4        2        4        8        4        4        
Pavarde302          Vardas302           3        6        8        3        9        10       8        8        
Pavarde303          Vardas303           1        8        8        10       9        3        1        5        
Pavarde304          Vardas304           9        5        6        8        9        10       3        6        
Pavarde305          Vardas305           1        8        7        2        7        10       10       2        
Pavarde306          Vardas306           6        5        10       8        6        2        3        8        
Pavarde307          Vardas307           5        2        5        6        8        6        1        9        
Pavarde308          Vardas308           6        1        7        1        10       5        10       4        
Pavarde309          Vardas309           6        1        10       10       8        3        7        1        
Pavarde310          Vardas310           10       8        4        4        8        7        2        7        
Pavarde311          Vardas311           2        5        3        1        6        1        8        5        
Pavarde312          Vardas312           7        4        3        8        1        7        1        6        
Pavarde313          Vardas313           8        5        5        10       7        7        5        7        
Pavarde314          Vardas314           1        3        7        8        4        8        7        9        
Pavarde315          Vardas315           3        7        8        10       4        5        2        10       
Pavarde316          Vardas316           9        1        9        8        6        2        5        6        
Pavarde317          Vardas317           6        8        10       9        4        7        8        2        
Pavarde318          Vardas318           1        2        5        4        7        5        10       1        
Pavarde319          Vardas319           4        9        2        7        2        2        10       10       
Pavarde320          Vardas320           7        9        10       3        2        4        4        9        
Pavarde321          Vardas321           3        4        4        9        9        2        7        9        
Pavarde322          Vardas322           5        5        4        3        8        8        7        9        
Pavarde323          Vardas323           7        2        8        1        7        7        9        2        
Pavarde324          Vardas324           7        8        9        5        6        8        4        9        
Pavarde325          Vardas325           5        1        9        6        10       4        5        1        
Pavarde326          Vardas326           3        10       3        3        10       2        5        5        
Pavarde327          Vardas327           2        8        8        3        9        3        10       9        
Pavarde328          Vardas328           6        6        4        10       6        10       3        4        
Pavarde329          Vardas329           2        1        8        8        10       2        9        8        
Pavarde330          Vardas330           6        1        2        3        4        3        3        5        
Pavarde331          Vardas331           6        10       3        7        3        7        1        9        
Pavarde332          Vardas332           7        3        3        6        5        6        2        7        
Pavarde333          Vardas333           7        3        8        4        8        4        6        1        
Pavarde334          Vardas334           1        1        7        1        4        10       3        3        
Pavarde335          Vardas335           9        6        10       3        3        3        7        1        
Pavarde336          Vardas336           5        8        2        5        4        4        4        3        
Pavarde337          Vardas337           10       1        2        10       1        8        7        5        
Pavarde338          Vardas338           3        1        4        8        6        10       4        3        
Pavarde339          Vardas339           2        3        9        8        5        3        8        7        
Pavarde340          Vardas340           10       1        1        1        10       9        2        9        
Pavarde341          Vardas341           6        10       7        7        4        9        5        5        
Pavarde342          Vardas342           8        4        1        5        6        1        10       7        
Pavarde343          Vardas343           5        2        1        2        10       3        5        4        
Pavarde344          Vardas344           6        10       8        4        4        3        9        1        
Pavarde345          Vardas345           2        9        4        4        9        5        3        10       
Pavarde346          Vardas346           2        2        5        5        5        1        1        6        
Pavarde347          Vardas347           10       9        1        10       3        7        2        2        
Pavarde348          Vardas348           8        6        8        9        4        1        4        3        
Pavarde349          Vardas349           6        7        3        10       7        4        1        9        
Pavarde350          Vardas350           6        6        2        8        7        6        1        7        
Pavarde351          Vardas351           6        10       1        6        3        4        3        10       
Pavarde352          Vardas352           7        10       9        7        5        3        2        3        
Pavarde353          Vardas353           6        10       9        7        3        7        2        8        
Pavarde354          Vardas354           6        1        7        4        2        7        9        3        
Pavarde355          Vardas355           7        7        4        10       5        4        7        7        
Pavarde356          Vardas356           6        3        4        1        7        9        6        8        
Pavarde357          Vardas357           6        8        7        6        7        2        10       1        
Pavarde358          Vardas358           6        1        9        7        4        6        5        9        
Pavarde359          Vardas359           5        10       10       9        10       7        7        8        
Pavarde360          Vardas360           8        5        2        10       3        2        6        5        
Pavarde361          Vardas361           5        6        9        2        6        5        2        1        
Pavarde362          Vardas362           1        6        7        2        8        3        5        5        
Pavarde363          Vardas363           10       3        5        10       10       3        10       4        
Pavarde364          Vardas364           4        4        1        10       5        6        9        5        
Pavarde365          Vardas365           4        4        8        10       4        3        7        8        
Pavarde366          Vardas366           9        7        4        9        4        5        3        1        
Pavarde367          Vardas367           2        9        6        3        6        9        7        4        
Pavarde368          Vardas368           6        8        1        4        5        6        3        8        
Pavarde369          Vardas369           4        3        6        10       5        6        8        7        
Pavarde370          Vardas370           6        9        10       4        6        4        7        10       
Pavarde371          Vardas371           7        3        2        6        6        1        4        7        
Pavarde372          Vardas372           10       5        8        9        5        9        8        6        
Pavarde373          Vardas373           4        2        4        7        9        2        2        6        
Pavarde374          Vardas374           6        10       5        8        7        5        5        10       
Pavarde375          Vardas375           7        1        10       8        7        4        2        4        
Pavarde376          Vardas376           6        9        9        3        8        4        4        5        
Pavarde377          Vardas377           6        8        9        8        3        1        9        6        
Pavarde378          Vardas378           2        10       9        2        2        9        9        2        
Pavarde379          Vardas379           9        4        6        6        10       7        7        4        
Pavarde380          Vardas380           3        9        10       9        8        5        6        5        
Pavarde381          Vardas381           9        4        1        7        6        5        2        3        
Pavarde382          Vardas382           2        1        10       5        4        7        8        7        
Pavarde383          Vardas383           2        5        6        8        5        1        7        10       
Pavarde384          Vardas384           2        10       1        6        3        6        7        8        
Pavarde385          Vardas385           4        1        4        10       8        10       5        8        
Pavarde386          Vardas386           8        8        5        10       4        10       10       7        
Pavarde387          Vardas387           1        2        2        5        4        3        4        8        
Pavarde388          Vardas388           3        1        5        10       10       2        2        7        
Pavarde389          Vardas389           8        1        2        7        6        9        9        10       
Pavarde390          Vardas390           5        9        3        10       5        7        1        2        
Pavarde391          Vardas391           7        5        1        5        7        9        9        1        
Pavarde392          Vardas392           2        9        2        4        8        1        10       10       
Pavarde393          Vardas393           3        6        3        6        3        7        10       4        
Pavarde394          Vardas394           10       10       5        5        3        5        8        4        
Pavarde395          Vardas395           6        7        2        7        2        1        8        5        
Pavarde396          Vardas396           4        2        9        5        9        8        7        2        
Pavarde397          Vardas397           3        1        3        3        1        5        1        5        
Pavarde398          Vardas398           8        3        2        5        8        4        6        9        
